neighborhood,longitude,latitude
Arbutus Ridge,-123.16166923820482,49.24680490982789
Grandview-Woodland,-123.06672822103268,49.27643960930463
Killarney,-123.03764702895802,49.21702167079743
Strathcona,-123.08823528054062,49.27821957764724
Sunset,-123.09203800098149,49.21875615053907
Hastings-Sunrise,-123.04026992328848,49.27793405209019
Kerrisdale,-123.15957618168902,49.22365548461882
South Cambie,-123.12180091574463,49.245556462368654
Riley Park,-123.10314680625231,49.24476647864864
Shaughnessy,-123.13976016672807,49.24568097615458
Victoria-Fraserview,-123.06413471832595,49.22001194005767
West Point Grey,-123.20346748255886,49.268401210185914
Mount Pleasant,-123.09851312036905,49.26306524972865
Renfrew-Collingwood,-123.040166464563,49.247342733638504
West End,-123.13543765302629,49.285011188472005
Kensington-Cedar Cottage,-123.07288459215947,49.246686446286056
Kitsilano,-123.16329474017252,49.26753984848691
Downtown,-123.11656700827415,49.28074707013743
Marpole,-123.1283816596551,49.21020746567156
Oakridge,-123.12302460370566,49.226403196402856
Dunbar-Southlands,-123.18954680338996,49.23796190534427
Fairview,-123.1310488653851,49.26454048616976